Text,Label
I am happy with the service.,positive
This is the worst experience I have ever had.,negative
I love the new design of the website!,positive
The support team was very unhelpful.,negative
This product works perfectly!,positive
I am not satisfied with the product quality.,negative
Amazing experience with customer service.,positive
I hate the long waiting time for support.,negative
The user interface is clean and easy to navigate.,positive
Very disappointed with the delivery time.,negative
